City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto aysen,-45.4,-72.7,12.51,99,100,1.82,CL,1681956406
1,alofi,-19.0595,-169.9187,27.94,83,75,4.12,NU,1681956150
2,richards bay,-28.783,32.0377,19.0,87,0,5.62,ZA,1681956406
3,ushuaia,-54.8,-68.3,1.09,96,69,2.03,AR,1681956407
4,urumqi,43.801,87.6005,5.53,42,0,1.0,CN,1681956407
5,margaret river,-33.95,115.0667,19.36,45,0,4.18,AU,1681956407
6,port lincoln,-34.7333,135.8667,17.31,56,92,3.12,AU,1681956407
7,thompson,55.7435,-97.8558,-0.91,55,75,5.14,CA,1681956137
8,bredasdorp,-34.5322,20.0403,16.21,62,100,2.51,ZA,1681956408
9,olonkinbyen,70.9221,-8.7187,2.18,84,100,10.58,SJ,1681956408
10,saipan,15.1355,145.701,31.39,100,20,8.75,MP,1681956169
11,belyy yar,53.6039,91.3903,-3.06,54,0,7.0,RU,1681956408
12,toropets,56.4978,31.6353,4.4,73,0,2.41,RU,1681956409
13,longyearbyen,78.2186,15.6401,-10.09,67,20,3.6,SJ,1681956409
14,bethel,41.3712,-73.414,8.75,68,0,0.0,US,1681956409
15,fukuecho,32.6881,128.8419,20.2,77,75,4.12,JP,1681956295
16,san miguel,13.4833,-88.1833,26.83,70,96,1.26,SV,1681956409
17,port-aux-francais,-49.35,70.2167,4.97,67,14,15.6,TF,1681956410
18,papatowai,-46.5619,169.4708,16.46,65,58,1.33,NZ,1681956410
19,iskateley,67.6803,53.1512,0.35,96,100,5.27,RU,1681956410
20,adamstown,-25.066,-130.1015,24.46,75,100,0.91,PN,1681956411
21,kolonia town,6.964,158.206,28.06,83,100,4.63,FM,1681956411
22,banqiao,25.0143,121.4672,25.03,73,75,2.57,TW,1681956411
23,utrik,11.2278,169.8474,26.87,78,98,7.97,MH,1681956411
24,kapuskasing,49.4169,-82.4331,-2.6,92,100,3.14,CA,1681956411
25,lae,-6.7221,146.9847,28.8,74,80,3.4,PG,1681956412
26,puerto ayora,-0.7393,-90.3518,23.64,100,100,2.65,EC,1681956412
27,waitangi,-43.9535,-176.5597,18.23,88,95,4.02,NZ,1681956153
28,mammoth lakes,37.6485,-118.9721,2.4,52,0,3.09,US,1681956412
29,port mathurin,-19.6833,63.4167,25.88,76,12,9.4,MU,1681956413
30,ghat,24.9647,10.1728,21.97,14,100,4.53,LY,1681956233
31,ancud,-41.8697,-73.8203,12.13,97,98,1.8,CL,1681956413
32,batala,31.8186,75.2028,18.88,64,10,2.46,IN,1681956413
33,kapa'a,22.0752,-159.319,27.83,67,20,5.14,US,1681956235
34,balqash,46.8481,74.995,0.33,64,20,7.0,KZ,1681956414
35,namibe,-15.1961,12.1522,25.21,74,98,2.06,AO,1681956414
36,rajanpur,29.1035,70.325,25.31,45,0,5.09,PK,1681956414
37,susuman,62.7833,148.1667,-5.2,73,100,5.49,RU,1681956415
38,khawr fakkan,25.3313,56.342,23.7,50,88,1.67,AE,1681956415
39,kerikeri,-35.2268,173.9474,21.62,96,100,0.45,NZ,1681956182
40,yellowknife,62.456,-114.3525,0.85,72,6,3.15,CA,1681956415
41,kodiak,57.79,-152.4072,6.73,57,20,3.6,US,1681956415
42,almus,40.3758,36.9044,10.82,89,99,1.91,TR,1681956415
43,talnakh,69.4865,88.3972,-14.33,94,100,3.57,RU,1681956149
44,severodvinsk,64.5635,39.8302,2.06,99,100,2.65,RU,1681956416
45,khandyga,62.6667,135.6,-1.26,81,100,2.03,RU,1681956297
46,grytviken,-54.2811,-36.5092,3.35,92,100,2.78,GS,1681956416
47,puerto natales,-51.7236,-72.4875,7.94,73,69,7.72,CL,1681956273
48,edinburgh of the seven seas,-37.0676,-12.3116,18.35,86,100,12.78,SH,1681956417
49,baume-les-dames,47.353,6.3612,7.7,80,100,4.47,FR,1681956417
50,west island,-12.1568,96.8225,26.99,89,100,8.75,CC,1681956417
51,akureyri,65.6835,-18.0878,6.18,88,29,4.1,IS,1681956417
52,cabugao,17.7931,120.4578,32.16,60,4,3.78,PH,1681956418
53,el granada,37.5027,-122.4694,15.75,63,0,7.72,US,1681956418
54,blackmans bay,-43.0167,147.3167,16.07,76,100,3.06,AU,1681956166
55,invercargill,-46.4,168.35,16.57,62,81,1.5,NZ,1681956370
56,san patricio,28.017,-97.5169,24.35,85,63,6.23,US,1681956257
57,sitka,57.0531,-135.33,11.94,43,40,5.14,US,1681956419
58,misratah,32.3754,15.0925,18.43,64,53,8.86,LY,1681956419
59,hobyo,5.3505,48.5268,27.8,71,71,2.24,SO,1681956419
60,hermanus,-34.4187,19.2345,18.22,65,100,6.49,ZA,1681956419
61,isafjordur,66.0755,-23.124,7.59,89,71,5.39,IS,1681956420
62,college,64.8569,-147.8028,5.18,47,40,3.09,US,1681956161
63,ribeira grande,38.5167,-28.7,12.1,68,99,1.79,PT,1681956176
64,tiksi,71.6872,128.8694,-18.99,98,100,2.24,RU,1681956420
65,leeton,-34.5667,146.4,17.16,51,4,2.42,AU,1681956421
66,catriel,-37.8791,-67.7956,19.8,40,61,4.55,AR,1681956421
67,tirur,10.9,75.9167,26.55,78,68,2.07,IN,1681956421
68,badger,64.8,-147.5333,5.14,45,40,3.09,US,1681956183
69,port alfred,-33.5906,26.891,25.79,40,84,4.24,ZA,1681956195
70,guerrero negro,27.9769,-114.0611,14.07,79,34,9.56,MX,1681956141
71,bay roberts,47.5999,-53.2648,2.25,94,100,2.24,CA,1681956422
72,tazovsky,67.4667,78.7,-10.7,95,95,2.26,RU,1681956422
73,kourou,5.1552,-52.6478,24.03,92,98,3.07,GF,1681956423
74,albany,42.6001,-73.9662,2.9,75,91,3.4,US,1681956245
75,stanley,54.868,-1.6985,5.98,94,0,2.06,GB,1681956423
76,howard springs,-12.497,131.047,29.95,66,97,3.04,AU,1681956424
77,revda,56.801,59.9303,1.65,77,100,1.14,RU,1681956315
78,san pedro pochutla,15.7333,-96.4667,28.17,75,100,3.57,MX,1681956424
79,atafu village,-8.5421,-172.5159,28.49,70,99,1.73,TK,1681956205
80,vorgashor,67.5833,63.95,-5.22,96,100,4.3,RU,1681956425
81,kruisfontein,-34.0033,24.7314,17.15,62,100,1.73,ZA,1681956126
82,sao filipe,14.8961,-24.4956,22.73,78,100,4.18,CV,1681956425
83,aasiaat,68.7098,-52.8699,-17.26,99,45,1.54,GL,1681956290
84,mili,6.0815,171.735,28.08,80,100,5.33,MH,1681956426
85,tamanrasset,22.785,5.5228,20.82,17,0,1.97,DZ,1681956426
86,usogorsk,63.4106,48.6872,-1.15,96,100,2.99,RU,1681956426
87,landshut,48.5333,12.15,5.0,96,100,0.89,DE,1681956426
88,sarai naurang,32.8259,70.7814,19.0,69,0,1.14,PK,1681956427
89,afaahiti,-17.75,-149.2833,28.93,83,97,6.39,PF,1681956154
90,bulayevo,54.9056,70.4439,0.44,36,62,2.65,KZ,1681956427
91,iqaluit,63.7506,-68.5145,-6.15,85,100,4.12,CA,1681956427
92,lebu,-37.6167,-73.65,12.42,96,97,6.12,CL,1681956428
93,moranbah,-22.0016,148.0466,28.13,42,0,6.66,AU,1681956428
94,vadso,70.0744,29.7487,4.09,87,100,2.06,NO,1681956428
95,padrauna,26.9025,83.9819,32.78,18,4,4.77,IN,1681956428
